token,value
воскресений,Sunday
воскресение,Sunday
воскресенье,Sunday
воскресеньем,Sunday
воскресенью,Sunday
воскресенья,Sunday
воскресеньям,Sunday
воскресеньями,Sunday
воскресеньях,Sunday
вторник,Tuesday
вторника,Tuesday
вторникам,Tuesday
вторниками,Tuesday
вторниках,Tuesday
вторнике,Tuesday
вторники,Tuesday
вторников,Tuesday
вторником,Tuesday
вторнику,Tuesday
понедельник,Monday
понедельника,Monday
понедельникам,Monday
понедельниками,Monday
понедельниках,Monday
понедельнике,Monday
понедельники,Monday
понедельников,Monday
понедельником,Monday
понедельнику,Monday
пятниц,Friday
пятница,Friday
пятницам,Friday
пятницами,Friday
пятницах,Friday
пятницею,Friday
пятнице,Friday
пятницей,Friday
пятницу,Friday
пятницы,Friday
сред,Wednesday
среда,Wednesday
средам,Wednesday
средами,Wednesday
средах,Wednesday
среде,Wednesday
средою,Wednesday
средой,Wednesday
среду,Wednesday
среды,Wednesday
суббот,Saturday
суббота,Saturday
субботам,Saturday
субботами,Saturday
субботах,Saturday
субботе,Saturday
субботой,Saturday
субботою,Saturday
субботу,Saturday
субботы,Saturday
четверг,Thursday
четверга,Thursday
четвергам,Thursday
четвергами,Thursday
четвергах,Thursday
четверге,Thursday
четверги,Thursday
четвергов,Thursday
четвергом,Thursday
четвергу,Thursday
